"Word","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions","ExampleSentence","JmDictWordId"
"する","する","する","172","12","0","to do,to carry out,to perform,to cause to become,to make (into),to turn (into),to serve as,to act as,to work as,to wear (clothes, a facial expression, etc.),to judge as being,to view as being,to think of as,to treat as,to use as,to decide on,to choose,to be sensed (of a smell, noise, etc.),to be (in a state, condition, etc.),to be worth,to cost,to pass (of time),to elapse,to place, or raise, person A to a post or status B,to transform A to B,to make A into B,to exchange A for B,to make use of A for B,to view A as B,to handle A as if it were B,to feel A about B,verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""),creates a humble verb (after a noun prefixed with ""o"" or ""go""),to be just about to,to be just starting to,to try to,to attempt to","","1157170"
"こと","こと","こと","163","16","2","thing,matter,incident,occurrence,event,something serious,trouble,crisis,circumstances,situation,state of affairs,work,business,affair,after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to,nominalizing suffix,pretending to ...,playing make-believe ...,alias,also known as,otherwise known as,or,necessity,need,you should ...,I advise that you ...,it's important to ...","","1313580"
"って","って","って","152","22","","you said,he said,she said,they said,even if,do you seriously think that,I already told you,you should know by now that,of course,the said ...,said ...,says that ...,I hear that ...,as for the term ...,as for ...","","2086960"
"な","な","な","145","14","1","don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?,indicates na-adjective","","2029110"
"えっ","えっ","えっ","128","181","1","huh?,what's up?","","2194050"
"んです","んです","んです","119","66","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ...","","2087820"
"この","この","この","110","26","0","this,last (couple of years, etc.),these,past,this,you (as in ""you liar"")","","1582920"
"あっ","あっ","あっ","109","154","1","ah,oh,hey!","","2394370"
"これ","これ","これ","105","35","0","this,this one,this person,now,this point (in time),here,used to stress the subject of a sentence,I,me","","1628530"
"なる","なる","なる","100","17","1","to become,to get,to grow,to turn,to reach,to attain,to result in,to turn out,to end up,to prove (to be),to consist of,to be composed of,to be made up of,to be completed,to be realized,to succeed,to be attained,to be accomplished,to change (into),to turn (into),to transform,to come (to do),to begin (to do),to grow (to do),to come to,to amount to,to add up to,to make,to play (the part of),to act as,to be used for,to be useful for,to serve as,to be promoted,to do ...","","1375610"
"それ","それ","それ","96","20","0","that,it,then,that point (in time),that time,there,you","","1006970"
"じゃない","じゃない","じゃない","96","43","","is not,am not,are not,isn't it?","","2755350"
"私たち","私[わたし]たち","わたしたち","95","401","4","we,us","","1311300"
"さん","さん","さん","94","27","1","Mr,Mrs,Miss,Ms,-san,politeness marker","","1005340"
"いい","いい","いい","93","34","1","good,excellent,fine,nice,pleasant,agreeable,sufficient,enough,ready,prepared,profitable (deal, business offer, etc.),beneficial,OK,all right,fine,no problem","","2820690"
"んだ","んだ","んだ","92","21","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ...","","2849387"
"けど","けど","けど","90","41","1","but,however,although","","1004200"
"魔法","魔[ま]法[ほう]","まほう","86","2039","0","magic,witchcraft,sorcery,spell","","1524230"
"ですか","ですか","ですか","83","78","","indicates question","","2457920"
"言う","言[い]う","いう","82","25","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise","","1587040"
"でも","でも","でも","80","28","1","but,however,though,nevertheless,still,yet,even so,also,as well,even,however,no matter how,even if,even though,... or something,either ... or ...,neither ... nor ...,pseudo-,quack,in-name-only,for lack of anything better to do","","1008460"
"ん","ん","ん","80","23","1","yes,yeah,uh huh,huh?,what?,'s,of,belonging to,at (place, time),in,on,during","","2139720"
"いる","いる","いる","80","37","0","to be (of animate objects),to exist,to stay,to be ...-ing,to have ...-ed,to be ...-ed","","1577980"
"そう","そう","そう","79","30","0,1","in that way,thus,such,so,the same,that's the case,so?","","2137720"
"ある","ある","ある","75","18","1","to be,to exist,to live,to have,to be located,to be equipped with,to happen,to come about,to exist (in a completed state),to be (something unchanged in its current state)","","1296400"
"わかる","わかる","わかる","75","785","2","to understand,to comprehend,to grasp,to see,to get,to follow,to become clear,to be known,to be discovered,to be realized (realised),to be found out,to make sense,I know!,I think so too!","","1606560"
"お","お","お","65","48","0","honorific/polite/humble prefix","","2826528"
"ちょっと","ちょっと","ちょっと","64","71","3,0","a little,a bit,slightly,just a minute,for a moment,briefly,somewhat,rather,fairly,pretty,quite,(not) easily,(not) readily,hey!,come on,excuse me,thanks, but no,not feasible,not possible","","1163940"
"なんて","なんて","なんて","64","70","","things like,something like,someone like,such a thing as,(the fact) that,to think that","","2089060"
"ない","ない","ない","64","33","1","nonexistent,not being (there),unowned,not had,unpossessed,unique,not,impossible,won't happen,not,to not be,to have not","","1529520"
"やる","やる","やる","63","54","0","to do,to undertake,to perform,to play (a game),to study,to send,to dispatch,to despatch,to put,to move,to turn (one's head, glance, etc.),to give (esp. to someone of equal or lower status),to let have,to present,to bestow,to confer,to make (a vehicle) go faster,to run (a business),to keep,to be engaged in,to practice (law, medicine, etc.),to practise,to have (food, drink, etc.),to eat,to drink,to smoke,to hold (a performance),to perform,to show,to ease (one's mind),to harm,to injure,to kill,to have sex,to fuck,to bang,to live,to get by,to get along,to do ... completely,to do ... broadly,to do ... to a great distance,to do ... for (someone of equal or lower status),to do ... to,to make active efforts to ...","","1012980"
"し","し","し","61","45","1","and,besides,moreover,what's more,not only ... but also,because,since,the thing is,for one thing","","2086640"
"とか","とか","とか","59","90","","and the like,such as,among other things,and so on,or something,something like,a (certain),I hear that ...,people say that ...,rumour has it that ...,or something,something like,or whatever","","1008530"
"その","その","その","59","24","0","that,the,part (as in ""part two""),um ...,er ...,uh ...","","1006830"
"そんな","そんな","そんな","58","40","0","such,that sort of,that kind of,like that,no way!,never!","","1007130"
"たち","たち","たち","56","124","1","pluralizing suffix (esp. for people and animals; formerly honorific)","","1416220"
"ここ","ここ","ここ","56","46","0","here,this place,this point,here,now,these past ... (e.g. three years),these last ...,the next ... (e.g. few days),these next ...","","1288810"
"もう","もう","もう","54","39","1,0","already,yet,by now,now,(not) any more,(not) any longer,soon,shortly,before long,presently,further,more,again,another,the other,jeez,geez,gee,boy,come on,damn,seriously","","1012480"
"はい","はい","はい","54","56","1","yes,that is correct,understood,I see,OK,okay,present,here,pardon?,what's that?,come again?,now,here,here you go,giddy-up,giddap","","1010080"
"ちゃん","ちゃん","ちゃん","52","137","1","suffix for familiar person","","1007660"
"さん","さん","さん","51","4569","0","three,3","","1579350"
"には","には","には","50","31","","to,for,on,in,at,in order to,for,as for,regarding,while it is (was) the case that ...,indeed ... (but),certainly ... (but)","","2215430"
"わよ","わよ","わよ","49","418","","emphatic sentence-ending particle","","2684260"
"今","今[いま]","いま","48","52","1","now,the present time,just now,soon,immediately,another,more","","1288850"
"思う","思[おも]う","おもう","48","32","2","to think,to consider,to believe,to reckon,to think (of doing),to plan (to do),to judge,to assess,to regard,to imagine,to suppose,to dream,to expect,to look forward to,to feel,to be (in a state of mind),to desire,to want,to care (deeply) for,to yearn for,to worry about,to love,to recall,to remember","","1589350"
"みんな","みんな","みんな","47","115","0,2","everyone,everybody,all,everything,all","","1202150"
"できる","できる","できる","46","60","2","to be able to do,to be possible,to be permitted (to do),to be good at,to do well,to be proficient (in),to be capable,to come into existence,to form,to appear,to come up (of a matter),to be born,to make (a friend),to get (a girlfriend, free time, etc.),to be made,to be built,to be constructed,to be formed,to be established,to be set up,to be finished,to be completed,to be done,to be ready,to grow (of a crop),to be produced,to be mature and well-balanced,to be of fine character,to be by nature,to be born ...,to become (sexually) involved (with),to become intimate (with),to take up (with someone),to get pregnant","","1340450"
"だった","だった","だった","45","36","","was,were","","2819970"
"だけ","だけ","だけ","45","38","1","only,just,merely,simply,no more than,nothing but,alone,as much as,to the extent of,enough to","","1007340"
"では","では","では","45","69","1","then,well,so,well then,bye then,at,in,by,with,using,if not ...,unless ...","","1008450"
"なん","なん","なん","42","87","0,1","what,how many,many,a lot of,several,a few,some","","2846738"
"あの","あの","あの","42","58","1","that,those,the","","1000420"
"赤い","赤[あか]い","あかい","41","1051","0","red,crimson,scarlet,vermilion,Red,communist","","1383240"
"だから","だから","だから","41","47","1","so,therefore,accordingly,consequently,on those grounds,that is why,for that reason,like I said,I told you already","","1007310"
"なら","なら","なら","41","51","1","if,in case,if it is the case that,if it is true that,as for,on the topic of,if that's the case,if so,that being the case,if possible,if circumstances allow","","1009470"
"聞く","聞[き]く","きく","41","62","0","to hear,to listen (e.g. to music),to ask,to enquire,to query,to hear about,to hear of,to learn of,to follow (advice, order, etc.),to obey,to listen to,to comply with,to hear (e.g. a plea),to grant (a request),to accept (e.g. an argument),to give consideration to,to smell (esp. incense),to sample (a fragrance),to taste (alcohol),to try","","1591110"
"こんな","こんな","こんな","40","68","0","this sort of,this kind of,like this,such","","1004880"
"まで","まで","まで","39","44","","until (a time),till,to,up to,to (a place or person),as far as,to (an extent),up to,so far as,even,only,merely","","1525680"
"皆さん","皆[みな]さん","みなさん","37","605","2","all,everyone,everybody","","1202170"
"何","何[なに]","なに","37","89","0,1","what,you-know-what,that thing,whatsit,whachamacallit,what's-his-name,what's-her-name,penis,(one's) thing,dick,(not) at all,(not) in the slightest,what?,huh?,hey!,come on!,oh, no (it's fine),why (it's nothing),oh (certainly not)","","1577100"
"どう","どう","どう","37","53","2","how,in what way,how about","","1008910"
"あなた","あなた","あなた","36","117","2,1","you,dear,honey","","1223615"
"死ぬ","死[し]ぬ","しぬ","35","173","0","to die,to pass away,to lose spirit,to lose vigor,to look dead,to cease,to stop","","1310730"
"普通","普[ふ]通[つう]","ふつう","34","390","0","normal,ordinary,regular,usual,common,average,normally,ordinarily,usually,generally,commonly,local train,train that stops at every station","","1497190"
"わ","わ","わ","34","103","1","indicates emotion or admiration,indicates emphasis,I,me,wah!,boo!","","2029100"
"のに","のに","のに","34","88","","although,despite,even though,and yet,whereas,while,if only,I wish,in order to","","1009980"
"依頼","依[い]頼[らい]","いらい","33","2198","0","request,commission,entrusting (with a matter),dependence,reliance","","1155710"
"という","という","という","33","75","","called,named,that says,that,as many as,as much as,all ...,every single ...","","1922760"
"様","様[さま]","さま","32","438","2","Mr,Mrs,Miss,Ms,makes a word more polite (usu. in fixed expressions),state,situation,appearance,manner","","1545790"
"だって","だって","だって","32","83","1","after all,because,but,even,too,as well,also,they say,I hear,you mean","","2643970"
"見る","見[み]る","みる","31","42","1","to see,to look,to watch,to view,to observe,to examine,to look over,to assess,to check,to judge,to look after,to attend to,to take care of,to keep an eye on,to experience,to meet with (misfortune, success, etc.),to try ...,to have a go at ...,to give ... a try,to see (that) ...,to find (that) ...","","1259290"
"じゃあ","じゃあ","じゃあ","31","127","0","then,well,so,well then","","1005900"
"じゃ","じゃ","じゃ","31","120","0","be,is,isn't it?","","2851029"
"剣","剣[けん]","けん","30","2681","1","sword (esp. a large, double-edged one),blade,bayonet,swordsmanship,stinger,ovipositor,dart","","1256750"
"うっ","うっ","うっ","30","575","","oof,ough,ulp","","2002810"
"わね","わね","わね","30","479","","isn't it?,it really is","","2457930"
"大丈夫","大[だい]丈[じょう]夫[ぶ]","だいじょうぶ","30","101","3","safe,secure,sound,problem-free,without fear,all right,alright,OK,okay,certainly,surely,undoubtedly,no thanks,I'm good,that's alright,great man,fine figure of a man","","1414150"
"よい","よい","よい","29","131","1","good,excellent,fine,nice,pleasant,agreeable,sufficient,enough,ready,prepared,profitable (deal, business offer, etc.),beneficial,OK,all right,fine,no problem,easy to ...","","1605820"
"何","何[なん]","なん","29","86","0,1","what,how many,many,a lot of,several,a few,some","","2846738"
"とは","とは","とは","29","82","","indicates word or phrase being defined,used for quoting (thoughts, speech, etc.),with,(not) as much as,(not) so much as,the fact that,to think that,such a thing as","","2028950"
"行く","行[い]く","いく","29","55","0","to go,to move (towards),to head (towards),to leave (for),to move through,to travel across,to walk along (e.g. a road),to go (well, badly, etc.),to proceed,to turn out,to get along,to do (in a particular way),to go (with; a choice),to try,to pass (of time, seasons, etc.),to go by,to stream,to flow,to die,to pass away,to reach (a stage, extent, age, etc.),to get to,to go (so far as ...),to reach (of information, instructions, wind, etc.),to arrive,to continue ...,to go on ...,to (progress) steadily,to gradually ...,to progressively ...,to have an orgasm,to come,to cum,to trip,to get high,to have a drug-induced hallucination","","1578850"
"本当","本[ほん]当[とう]","ほんとう","29","140","0","truth,reality,actuality,fact,proper,right,correct,official,genuine,authentic,real,natural,veritable","","1523060"
"なんで","なんで","なんで","28","208","1","why?,what for?,how?,by what means?","","1611020"
"よし","よし","よし","28","191","1","alright,all right,right on,looking good,OK,okay","","2607690"
"ぞ","ぞ","ぞ","27","85","","adds force or indicates command","","2029130"
"もの","もの","もの","27","61","0,2","thing,object,article,stuff,substance,one's things,possessions,property,belongings,things,something,anything,everything,nothing,quality,reason,the way of things,used to emphasize emotion, judgment, etc.,used to indicate a common occurrence in the past (after a verb in past tense),used to indicate a general tendency,used to indicate something that should happen,item classified as ...,item related to ...,work in the genre of ...,cause of ...,cause for ...,somehow,somewhat,for some reason,really,truly","","1502390"
"来る","来[く]る","くる","27","64","1","to come (spatially or temporally),to approach,to arrive,to come back,to do ... and come back,to come to be,to become,to get,to grow,to continue,to come from,to be caused by,to derive from,to come to (e.g. ""when it comes to spinach ..."")","","1547720"
"やっぱり","やっぱり","やっぱり","26","150","3","as expected,sure enough,just as one thought,after all (is said and done),in the end,as one would expect,in any case,too,also,as well,likewise,(not) either,still,as before,all the same,even so,still,nonetheless","","1012810"
"盗賊","盗[とう]賊[ぞく]","とうぞく","25","13085","0","thief,robber,burglar,bandit","","1448470"
"何か","何[なに]か","なにか","25","109","1","something,some,any,somehow,for some reason,(so) what (are you trying to say)?,what (do you mean)?","","1188270"
"世界","世[せ]界[かい]","せかい","25","272","1,2","the world,society,the universe,sphere,circle,world,world-renowned,world-famous,realm governed by one Buddha,space","","1373860"
"竜","竜[りゅう]","りゅう","25","6194","0","dragon (esp. a Chinese dragon),naga,semi-divine human-cobra chimera in Hindu and Buddhist mythology,promoted rook","","1629170"
"として","として","として","25","118","","as (i.e. in the role of),for (i.e. from the viewpoint of),apart from ... (used to change the topic),even (e.g. ""not even a single person""),thinking that ...,trying to ...","","1008590"
"とき","とき","とき","25","363","2","time,hour,moment,occasion,case,chance,opportunity,season,the times,the age,the day,tense","","1315840"
"殺す","殺[ころ]す","ころす","24","400","0","to kill,to slay,to murder,to slaughter,to suppress,to block,to hamper,to destroy (e.g. talent),to eliminate (e.g. an odour),to spoil (e.g. a flavour),to kill (e.g. one's speed),to suppress (a voice, feelings, etc.),to hold back,to stifle (a yawn, laugh, etc.),to hold (one's breath),to put out (a runner),to pawn,to put in hock","","1299030"
"や","や","や","24","57","1","such things as ...,and ... and,the minute (that) ...,no sooner than ...,as soon as,be,is,o,oh,huh,what,hi,yes,what?,yes?,no?,is it?,isn't it?","","2028960"
"かな","かな","かな","23","106","0","I wonder,should I?,is it?,I wish that,I hope that","","1002940"
"人","人[ひと]","ひと","23","65","0,2","person,someone,somebody,human beings,mankind,man,people,humans,human (Homo sapiens),(other) people,others,character,personality,nature,capable person,competent person,suitable person,right person,adult,grown-up,I,me,one","","1580640"
"子ども","子[こ]ども","こども","23","3404","0","child,children","","1307850"
"なに","なに","なに","23","707","0,1","what,you-know-what,that thing,whatsit,whachamacallit,what's-his-name,what's-her-name,penis,(one's) thing,dick,(not) at all,(not) in the slightest,what?,huh?,hey!,come on!,oh, no (it's fine),why (it's nothing),oh (certainly not)","","1577100"
"まだ","まだ","まだ","23","76","1","still,as yet,only,(not) yet,more,(more) still,at least,comparatively,relatively,unfinished,incomplete,not yet done","","1527110"
"今日","今日[きょう]","きょう","23","93","1","today,this day,these days,recently,nowadays","","1579110"
"すごい","すごい","すごい","23","167","2","terrible,dreadful,amazing (e.g. of strength),great (e.g. of skills),wonderful,terrific,to a great extent,vast (in numbers),awfully,very,immensely","","1374550"
"古","古[ふる]","ふる","23","25090","0","used item,secondhand item,old,used,previous","","1265060"
"誓い","誓[ちか]い","ちかい","23","8692","0,2","oath,vow","","1381200"
"いう","いう","いう","23","113","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise","","1587040"
"仲間","仲[なか]間[ま]","なかま","22","568","3","companion,fellow,friend,mate,comrade,partner,colleague,coworker,associate,group,company,circle,set,gang,member of the same category (family, class)","","1425790"
"また","また","また","22","73","0,2","again,once more,once again,another time,some other time,also,too,as well,likewise,on the other hand,while,and,in addition,besides,moreover,furthermore,or,otherwise,really,how,(what, why) on earth,some time (in the future),indirect","","1524930"
"あれ","あれ","あれ","22","102","1","that,that thing,that person,then,that time,that place (over there),down there (i.e. one's genitals),period,menses","","1000580"
"よね","よね","よね","22","172","1","isn't that right?","","2667510"
"まぁ","まぁ","まぁ","22","1840","1","just (e.g. ""just wait here""),come now,now, now,tolerably,passably,moderately,reasonably,fairly,rather,somewhat,well ...,I think ...,it would seem ...,you might say ...,Hmmm, I guess so ...,oh!,oh dear!,oh, my!,wow!,goodness gracious!,good heavens!","","1012050"
"うわ","うわ","うわ","22","683","","yikes,oops,eep,wow,aargh","","2061250"
"なの","なの","なの","22","156","","that's the way it is,yes,is that so?,is it?","","2425930"
"転生","転[てん]生[せい]","てんせい","21","14638","0","transmigration,reincarnation,metempsychosis","","1441240"
"わけ","わけ","わけ","21","159","1,2","reason,cause,grounds,meaning,sense,(good) sense,reason,circumstances,case,(romantic) relationship,love affair","","1538330"
"ような","ような","ような","21","94","","like,similar to,(I) think (that),(I) have a feeling (that),feels like,feels similar to,feels as if","","2409180"
"使う","使[つか]う","つかう","21","152","0","to use (a tool, method, etc.),to make use of,to put to use,to use (a person, animal, puppet, etc.),to employ,to handle,to manage,to manipulate,to use (time, money, etc.),to spend,to consume,to use (language),to speak","","1305990"
"そして","そして","そして","21","148","2","and,and then,thus,and now,and finally","","1006730"
"なんか","なんか","なんか","21","112","","something like ...,things like ...,someone like ...,the likes of ...","","1009500"
"人間","人[にん]間[げん]","にんげん","20","184","0","human being,human,person,man,mankind,humankind,character (of a person)","","1366770"
"ありがとう","ありがとう","ありがとう","20","186","2","thank you,thanks","","1586820"
"話す","話[はな]す","はなす","20","180","2","to talk,to speak,to converse,to chat,to tell,to explain,to narrate,to mention,to describe,to discuss,to speak (a language)","","1562350"
"いく","いく","いく","20","209","0","to go,to move (towards),to head (towards),to leave (for),to move through,to travel across,to walk along (e.g. a road),to go (well, badly, etc.),to proceed,to turn out,to get along,to do (in a particular way),to go (with; a choice),to try,to pass (of time, seasons, etc.),to go by,to stream,to flow,to die,to pass away,to reach (a stage, extent, age, etc.),to get to,to go (so far as ...),to reach (of information, instructions, wind, etc.),to arrive,to continue ...,to go on ...,to (progress) steadily,to gradually ...,to progressively ...,to have an orgasm,to come,to cum,to trip,to get high,to have a drug-induced hallucination","","1578850"
"みたい","みたい","みたい","20","98","","-like,sort of,similar to,resembling","","2016410"
"くらい","くらい","くらい","20","218","3","approximately,about,around,or so,to (about) the extent that,(almost) enough that,so ... that ...,at least,as ... as ...,like","","1154340"
"すみません","すみません","すみません","20","520","4","excuse me,pardon me,I'm sorry,I beg your pardon,thank you,you shouldn't have,it's too much","","1295060"
"どうして","どうして","どうして","20","176","1","how,in what way,by what means,why,for what reason,for what purpose,what for,cannot possibly,no way","","1466940"
"前","前[まえ]","まえ","20","74","1","in front (of),before (e.g. a building),before,earlier,previously,prior,ago,(minutes) to (the hour),(the) front,frontal part,fore,head (e.g. of a line),forward,ahead,(in the) presence (of),in front (of someone),previous (e.g. page),prior (e.g. engagement),first (e.g. half),former (e.g. example),portion,helping,front (of one's body or clothing),breast (of a coat, kimono, etc.),privates,private parts,criminal record,previous conviction,(a) prior","","1392580"
"いや","いや","いや","20","77","1","no","","2857380"
"ちゃん","ちゃん","ちゃん","19","12220","2,1","father","","1497610"
"貴族","貴[き]族[ぞく]","きぞく","19","6121","1","nobility,aristocracy,peerage","","1223550"
"相手","相[あい]手[て]","あいて","19","221","3","companion,partner,company,other party,addressee,counterparty,opponent (sports, etc.)","","1401000"
"獣人","獣[じゅう]人[じん]","じゅうじん","19","27710","0","(fictional) fusion of human and animal,therianthrope,furry,human beast","","2083010"
"使える","使[つか]える","つかえる","19","732","0","to be usable,to be serviceable,to be useful","","1607180"
"うわっ","うわっ","うわっ","19","551","","yikes,oops,eep,wow,aargh","","2061250"
"話","話[はなし]","はなし","19","95","3","talk,speech,chat,conversation,topic,subject,discussions,negotiation,argument,rumor,talk,hearsay,tale,story,fable,circumstances,particulars","","1600900"
"家族","家[か]族[ぞく]","かぞく","18","538","1","family","","1192150"
"子","子[こ]","こ","18","213","0","child,kid,teenager,youngster,young (non-adult) person,(one's) child,offspring,young woman,young (animal),offshoot,interest,new share,player who is not a dealer,young geisha,young prostitute,bird egg,-er (often of young women)","","1307770"
"あの","あの","あの","18","165","0","say,well,um,er","","1000430"
"知る","知[し]る","しる","18","67","0","to know,to be aware (of),to be conscious (of),to learn (of),to find out,to discover,to sense,to feel,to notice,to realize,to understand,to comprehend,to grasp,to appreciate,to remember,to be familiar with,to be acquainted with,to experience,to go through,to know (e.g. hardship),to get acquainted with (a person),to get to know,to have to do with,to be concerned with,to be one's concern,to be one's responsibility","","1420470"
"作る","作[つく]る","つくる","18","171","2","to make,to produce,to manufacture,to build,to construct,to prepare (food),to brew (alcohol),to raise,to grow,to cultivate,to train,to till,to draw up (a document),to make out,to prepare,to write,to create (an artistic work, etc.),to compose,to coin (a phrase),to organize,to organise,to establish,to found,to have (a child),to make up (one's face, etc.),to fabricate (an excuse, etc.),to give a (false) appearance,to feign (a smile, etc.),to put on a show of emotion,to form (a line, etc.),to set (a record),to commit (a sin, etc.)","","1597890"
"学校","学[がっ]校[こう]","がっこう","18","648","0","school","","1206730"
"でしょう","でしょう","でしょう","18","153","","it seems,I think,I guess,I wonder,right?,don't you agree?","","1008420"
"どこ","どこ","どこ","18","104","1,0","where,what place,how much (long, far),what extent","","1577140"
"かわいい","かわいい","かわいい","18","521","3","cute,adorable,charming,lovely,pretty,dear,precious,darling,pet,innocent,childlike,childish,lovable,dainty,little,tiny","","1577200"
"ため","ため","ため","18","92","2","good,advantage,benefit,welfare,sake,purpose,objective,aim,consequence,result,effect,affecting,regarding,concerning","","1157080"
"待つ","待[ま]つ","まつ","18","80","1","to wait,to await,to look forward to,to anticipate,to depend on,to need","","1410590"
"まさか","まさか","まさか","18","241","1","by no means,never!,well, I never!,you don't say!,no way!,certainly (not),surely (not),hardly (expected),something unexpected,emergency,indeed,really,truly,unexpectedly,(the) present,(the) here and now,situation at hand","","1363540"
"もっと","もっと","もっと","17","134","1","(some) more,even more,longer,further","","1012620"
"あと","あと","あと","17","133","0","behind,rear,after,later,remainder,the rest,more (e.g. five more minutes),left,also,in addition,descendant,successor,heir,after one's death,past,previous","","1269320"
"なんだ","なんだ","なんだ","17","99","1","it is assuredly that ...,can say with confidence that ...,did not ...","","2140410"
"やめる","やめる","やめる","17","132","0","to resign,to retire,to quit,to leave (one's job, etc.)","","1318950"
"娘","娘[むすめ]","むすめ","17","547","3","daughter,girl (i.e. a young, unmarried woman)","","1531190"
"実家","実[じっ]家[か]","じっか","17","2025","0","(one's parents') home","","1320900"
"なんだ","なんだ","なんだ","17","192","1","what!,oh,what the heck,what the,damn","","2119750"
"だけど","だけど","だけど","17","161","1","but,however,although","","1007370"
"より","より","より","17","96","0","than,rather than,instead of,over,above,from,out of,since,at,on (and after),except,but,other than,more","","1013190"
"入る","入[はい]る","はいる","17","105","0","to enter,to come in,to go in,to get in,to arrive,to join (a club, company, etc.),to enter (a university, the army, etc.),to enroll (in),to go into (e.g. politics),to get into,to be contained (in),to be included (in),to be inside (e.g. a box),to come under (a heading),to belong (in a category),to (be able to) fit (in a container, building, etc.),to be (able to be) held,to be (able to be) accommodated,to be introduced,to be brought in,to be installed,to be received,to be obtained,to be scored (of points),to be won (of votes),to turn on,to start functioning,to start working,to enter (a month, season, etc.),to reach (e.g. a climax),to get to (e.g. the main topic),to enter into (e.g. negotiations),to start (doing),to begin,to form (of a crack, fissure, etc.),to develop,to be put in (of effort, spirit, feeling, etc.),to be applied (e.g. of strength),to be ready (of tea, coffee, etc.),to be made,to enter the body (of alcohol),to become drunk","","1465590"
"逃げる","逃[に]げる","にげる","17","243","2","to run away,to flee,to get away (e.g. from danger),to escape,to break out,to leave (e.g. one's spouse),to take cover,to avoid (a question, responsibility, etc.),to evade,to dodge,to shirk,to back away,to win without being overtaken,to hold off the other contenders (until the finish),to keep the lead (and win),to escape (of heat, a gas, etc.),to leak out (e.g. of a scent),to be lost (e.g. of flavor),to fail to hold an ideal posture","","1450330"
"戦う","戦[たたか]う","たたかう","17","799","0","to make war (on),to wage war (against),to go to war (with),to fight (with),to do battle (against),to compete (against),to struggle (against adversities, etc.),to fight,to contend,to resist","","1596960"
"えー","えー","えー","17","352","1,2,0","yes,that is correct,right,um,errr,well,huh?,grrr,gah,must I?,good","","1001140"
"え","え","え","16","107","1","eh?,what?,oh?,yes,that's correct,strengthens a question, assertion, etc.,hey","","2122310"
"誰","誰[だれ]","だれ","16","128","1","who","","1416830"
"怖い","怖[こわ]い","こわい","16","264","2","scary,frightening,eerie,dreadful","","1593480"
"うーん","うーん","うーん","16","342","0,2","um,er,well,nuh-uh,no,oof","","2002400"
