"Word","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions","ExampleSentence","JmDictWordId"
"とか","とか","とか","11","90","","and the like,such as,among other things,and so on,or something,something like,a (certain),I hear that ...,people say that ...,rumour has it that ...,or something,something like,or whatever","","1008530"
"この","この","この","11","26","0","this,last (couple of years, etc.),these,past,this,you (as in ""you liar"")","","1582920"
"いる","いる","いる","11","37","0","to be (of animate objects),to exist,to stay,to be ...-ing,to have ...-ed,to be ...-ed","","1577980"
"えっ","えっ","えっ","10","181","1","huh?,what's up?","","2194050"
"世界","世[せ]界[かい]","せかい","9","272","1,2","the world,society,the universe,sphere,circle,world,world-renowned,world-famous,realm governed by one Buddha,space","","1373860"
"これ","これ","これ","9","35","0","this,this one,this person,now,this point (in time),here,used to stress the subject of a sentence,I,me","","1628530"
"する","する","する","9","12","0","to do,to carry out,to perform,to cause to become,to make (into),to turn (into),to serve as,to act as,to work as,to wear (clothes, a facial expression, etc.),to judge as being,to view as being,to think of as,to treat as,to use as,to decide on,to choose,to be sensed (of a smell, noise, etc.),to be (in a state, condition, etc.),to be worth,to cost,to pass (of time),to elapse,to place, or raise, person A to a post or status B,to transform A to B,to make A into B,to exchange A for B,to make use of A for B,to view A as B,to handle A as if it were B,to feel A about B,verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""),creates a humble verb (after a noun prefixed with ""o"" or ""go""),to be just about to,to be just starting to,to try to,to attempt to","","1157170"
"普通","普[ふ]通[つう]","ふつう","9","390","0","normal,ordinary,regular,usual,common,average,normally,ordinarily,usually,generally,commonly,local train,train that stops at every station","","1497190"
"じゃない","じゃない","じゃない","9","43","","is not,am not,are not,isn't it?","","2755350"
"お","お","お","8","48","0","honorific/polite/humble prefix","","2826528"
"言う","言[い]う","いう","8","25","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise","","1587040"
"こと","こと","こと","8","16","2","thing,matter,incident,occurrence,event,something serious,trouble,crisis,circumstances,situation,state of affairs,work,business,affair,after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to,nominalizing suffix,pretending to ...,playing make-believe ...,alias,also known as,otherwise known as,or,necessity,need,you should ...,I advise that you ...,it's important to ...","","1313580"
"ない","ない","ない","8","33","1","nonexistent,not being (there),unowned,not had,unpossessed,unique,not,impossible,won't happen,not,to not be,to have not","","1529520"
"その","その","その","8","24","0","that,the,part (as in ""part two""),um ...,er ...,uh ...","","1006830"
"ここ","ここ","ここ","7","46","0","here,this place,this point,here,now,these past ... (e.g. three years),these last ...,the next ... (e.g. few days),these next ...","","1288810"
"には","には","には","7","31","","to,for,on,in,at,in order to,for,as for,regarding,while it is (was) the case that ...,indeed ... (but),certainly ... (but)","","2215430"
"お姉さん","お姉[ねえ]さん","おねえさん","7","2096","2","older sister,elder sister,young lady,miss,ma'am,older girl","","1001990"
"だけ","だけ","だけ","6","38","1","only,just,merely,simply,no more than,nothing but,alone,as much as,to the extent of,enough to","","1007340"
"し","し","し","6","45","1","and,besides,moreover,what's more,not only ... but also,because,since,the thing is,for one thing","","2086640"
"だから","だから","だから","6","47","1","so,therefore,accordingly,consequently,on those grounds,that is why,for that reason,like I said,I told you already","","1007310"
"すごい","すごい","すごい","6","167","2","terrible,dreadful,amazing (e.g. of strength),great (e.g. of skills),wonderful,terrific,to a great extent,vast (in numbers),awfully,very,immensely","","1374550"
"んです","んです","んです","6","66","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ...","","2087820"
"けど","けど","けど","6","41","1","but,however,although","","1004200"
"それ","それ","それ","6","20","0","that,it,then,that point (in time),that time,there,you","","1006970"
"様","様[さま]","さま","6","438","2","Mr,Mrs,Miss,Ms,makes a word more polite (usu. in fixed expressions),state,situation,appearance,manner","","1545790"
"すみません","すみません","すみません","6","520","4","excuse me,pardon me,I'm sorry,I beg your pardon,thank you,you shouldn't have,it's too much","","1295060"
"なる","なる","なる","6","17","1","to become,to get,to grow,to turn,to reach,to attain,to result in,to turn out,to end up,to prove (to be),to consist of,to be composed of,to be made up of,to be completed,to be realized,to succeed,to be attained,to be accomplished,to change (into),to turn (into),to transform,to come (to do),to begin (to do),to grow (to do),to come to,to amount to,to add up to,to make,to play (the part of),to act as,to be used for,to be useful for,to serve as,to be promoted,to do ...","","1375610"
"ちゃん","ちゃん","ちゃん","6","137","1","suffix for familiar person","","1007660"
"でも","でも","でも","6","28","1","but,however,though,nevertheless,still,yet,even so,also,as well,even,however,no matter how,even if,even though,... or something,either ... or ...,neither ... nor ...,pseudo-,quack,in-name-only,for lack of anything better to do","","1008460"
"ですか","ですか","ですか","6","78","","indicates question","","2457920"
"うわっ","うわっ","うわっ","6","551","","yikes,oops,eep,wow,aargh","","2061250"
"ぜ","ぜ","ぜ","6","369","","I can tell you,heh","","2834812"
"よし","よし","よし","5","191","1","alright,all right,right on,looking good,OK,okay","","2607690"
"ある","ある","ある","5","18","1","to be,to exist,to live,to have,to be located,to be equipped with,to happen,to come about,to exist (in a completed state),to be (something unchanged in its current state)","","1296400"
"使える","使[つか]える","つかえる","5","732","0","to be usable,to be serviceable,to be useful","","1607180"
"今","今[いま]","いま","5","52","1","now,the present time,just now,soon,immediately,another,more","","1288850"
"わかる","わかる","わかる","5","785","2","to understand,to comprehend,to grasp,to see,to get,to follow,to become clear,to be known,to be discovered,to be realized (realised),to be found out,to make sense,I know!,I think so too!","","1606560"
"転生","転[てん]生[せい]","てんせい","5","14638","0","transmigration,reincarnation,metempsychosis","","1441240"
"子どもたち","子[こ]どもたち","こどもたち","5","10298","3","children,kids","","1307870"
"ちょっと","ちょっと","ちょっと","5","71","3,0","a little,a bit,slightly,just a minute,for a moment,briefly,somewhat,rather,fairly,pretty,quite,(not) easily,(not) readily,hey!,come on,excuse me,thanks, but no,not feasible,not possible","","1163940"
"帰る","帰[かえ]る","かえる","5","114","1","to return,to come home,to go home,to go back,to leave (of a guest, customer, etc.),to get home,to get to home plate","","1221270"
"もう","もう","もう","5","39","1,0","already,yet,by now,now,(not) any more,(not) any longer,soon,shortly,before long,presently,further,more,again,another,the other,jeez,geez,gee,boy,come on,damn,seriously","","1012480"
"市場","市[し]場[じょう]","しじょう","5","7980","1","market (financial, stock, domestic, etc.),marketplace,exchange,(street) market","","1308305"
"大丈夫","大[だい]丈[じょう]夫[ぶ]","だいじょうぶ","5","101","3","safe,secure,sound,problem-free,without fear,all right,alright,OK,okay,certainly,surely,undoubtedly,no thanks,I'm good,that's alright,great man,fine figure of a man","","1414150"
"子","子[こ]","こ","4","213","0","child,kid,teenager,youngster,young (non-adult) person,(one's) child,offspring,young woman,young (animal),offshoot,interest,new share,player who is not a dealer,young geisha,young prostitute,bird egg,-er (often of young women)","","1307770"
"いい","いい","いい","4","34","1","good,excellent,fine,nice,pleasant,agreeable,sufficient,enough,ready,prepared,profitable (deal, business offer, etc.),beneficial,OK,all right,fine,no problem","","2820690"
"なぁ","なぁ","なぁ","4","914","1","don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?,indicates na-adjective","","2029110"
"かい","かい","かい","4","374","0","yes?,no?,isn't it?,is it?","","2017770"
"人","人[ひと]","ひと","4","65","0,2","person,someone,somebody,human beings,mankind,man,people,humans,human (Homo sapiens),(other) people,others,character,personality,nature,capable person,competent person,suitable person,right person,adult,grown-up,I,me,one","","1580640"
"王都","王[おう]都[と]","おうと","4","18831","1","royal capital,imperial capital","","2684100"
"くっ","くっ","くっ","4","1582","","tch,ugh,damn","","2870321"
"能力","能[のう]力[りょく]","のうりょく","4","1440","1","ability,faculty","","1470370"
"怖い","怖[こわ]い","こわい","4","264","2","scary,frightening,eerie,dreadful","","1593480"
"悪党","悪[あく]党[とう]","あくとう","4","8707","3","scoundrel,rascal,villain","","1152310"
"だった","だった","だった","4","36","","was,were","","2819970"
"わよ","わよ","わよ","4","418","","emphatic sentence-ending particle","","2684260"
"力","力[ちから]","ちから","4","289","3","force,strength,might,vigour,vigor,energy,capability,ability,proficiency,capacity,faculty,efficacy,effect,effort,endeavours,endeavors,exertions,power,authority,influence,good offices,agency,support,help,aid,assistance,stress,emphasis,means,resources","","1554820"
"うわ","うわ","うわ","4","683","","yikes,oops,eep,wow,aargh","","2061250"
"あれ","あれ","あれ","4","102","1","that,that thing,that person,then,that time,that place (over there),down there (i.e. one's genitals),period,menses","","1000580"
"異世界","異[い]世[せ]界[かい]","いせかい","4","10051","2","another world (esp. in fiction),otherworld,parallel universe,different-dimension world,isekai","","2431170"
"なら","なら","なら","4","51","1","if,in case,if it is the case that,if it is true that,as for,on the topic of,if that's the case,if so,that being the case,if possible,if circumstances allow","","1009470"
"じゃあ","じゃあ","じゃあ","4","127","0","then,well,so,well then","","1005900"
"こんな","こんな","こんな","4","68","0","this sort of,this kind of,like this,such","","1004880"
"はい","はい","はい","4","56","1","yes,that is correct,understood,I see,OK,okay,present,here,pardon?,what's that?,come again?,now,here,here you go,giddy-up,giddap","","1010080"
"なの","なの","なの","4","156","","that's the way it is,yes,is that so?,is it?","","2425930"
"ちゃん","ちゃん","ちゃん","4","12220","2,1","father","","1497610"
"そこ","そこ","そこ","4","97","0","there (place relatively near listener),there (place just mentioned),that place,then (of some incident just spoken of),that (of point just raised),you","","1006670"
"どう","どう","どう","4","53","2","how,in what way,how about","","1008910"
"ん","ん","ん","4","23","1","yes,yeah,uh huh,huh?,what?,'s,of,belonging to,at (place, time),in,on,during","","2139720"
"君","君[きみ]","きみ","4","229","0","you,buddy,pal,monarch,ruler,sovereign,(one's) master,he,she","","1247250"
"うっ","うっ","うっ","3","575","","oof,ough,ulp","","2002810"
"もしかして","もしかして","もしかして","3","522","1","perhaps,possibly,maybe,by any chance,if I'm not mistaken,if,in case,in the event that","","1012520"
"私たち","私[わたし]たち","わたしたち","3","401","4","we,us","","1311300"
"波","波[なみ]","なみ","3","2326","2","wave,billow,ripple,breaker,swell,ups and downs,(something) advancing step by step,(something) surging forward inopposably,succession of changes,tendency,(new) wave","","1470970"
"はっ","はっ","はっ","3","679","1","oh,yes,huh?,hm?,what's that?","","2835840"
"ごめんなさい","ごめんなさい","ごめんなさい","3","357","","I'm sorry,my apologies,excuse me,pardon me","","1270680"
"あの","あの","あの","3","165","0","say,well,um,er","","1000430"
"まぁ","まぁ","まぁ","3","1840","1","just (e.g. ""just wait here""),come now,now, now,tolerably,passably,moderately,reasonably,fairly,rather,somewhat,well ...,I think ...,it would seem ...,you might say ...,Hmmm, I guess so ...,oh!,oh dear!,oh, my!,wow!,goodness gracious!,good heavens!","","1012050"
"さらう","さらう","さらう","3","4455","0","to sweep away,to wash away,to dredge","","1593865"
"呼ぶ","呼[よ]ぶ","よぶ","3","187","0","to call out (to),to call,to invoke,to summon (a doctor, etc.),to invite,to designate,to name,to brand,to garner (support, etc.),to gather,to take as one's wife","","1266440"
"実は","実[じつ]は","じつは","3","326","2","as a matter of fact,by the way,to tell you the truth,to be honest,frankly,actually","","1320830"
"として","として","として","3","118","","as (i.e. in the role of),for (i.e. from the viewpoint of),apart from ... (used to change the topic),even (e.g. ""not even a single person""),thinking that ...,trying to ...","","1008590"
"詠唱","詠[えい]唱[しょう]","えいしょう","3","18216","0","aria,singing,chanting,reciting (e.g. a spell)","","1174850"
"会う","会[あ]う","あう","3","135","1","to meet,to encounter,to see,to have an accident,to have a bad experience","","1198180"
"あと","あと","あと","3","133","0","behind,rear,after,later,remainder,the rest,more (e.g. five more minutes),left,also,in addition,descendant,successor,heir,after one's death,past,previous","","1269320"
"やる","やる","やる","3","54","0","to do,to undertake,to perform,to play (a game),to study,to send,to dispatch,to despatch,to put,to move,to turn (one's head, glance, etc.),to give (esp. to someone of equal or lower status),to let have,to present,to bestow,to confer,to make (a vehicle) go faster,to run (a business),to keep,to be engaged in,to practice (law, medicine, etc.),to practise,to have (food, drink, etc.),to eat,to drink,to smoke,to hold (a performance),to perform,to show,to ease (one's mind),to harm,to injure,to kill,to have sex,to fuck,to bang,to live,to get by,to get along,to do ... completely,to do ... broadly,to do ... to a great distance,to do ... for (someone of equal or lower status),to do ... to,to make active efforts to ...","","1012980"
"まで","まで","まで","3","44","","until (a time),till,to,up to,to (a place or person),as far as,to (an extent),up to,so far as,even,only,merely","","1525680"
"お子様","お子[こ]様[さま]","おこさま","3","10779","0","(another's) child,child,kid","","1002010"
"ちょ","ちょ","ちょ","3","991","","hey,hold on,come on","","2845172"
"王国","王[おう]国[こく]","おうこく","3","7011","0","kingdom,monarchy","","1181480"
"そして","そして","そして","3","148","2","and,and then,thus,and now,and finally","","1006730"
"入る","入[はい]る","はいる","3","105","0","to enter,to come in,to go in,to get in,to arrive,to join (a club, company, etc.),to enter (a university, the army, etc.),to enroll (in),to go into (e.g. politics),to get into,to be contained (in),to be included (in),to be inside (e.g. a box),to come under (a heading),to belong (in a category),to (be able to) fit (in a container, building, etc.),to be (able to be) held,to be (able to be) accommodated,to be introduced,to be brought in,to be installed,to be received,to be obtained,to be scored (of points),to be won (of votes),to turn on,to start functioning,to start working,to enter (a month, season, etc.),to reach (e.g. a climax),to get to (e.g. the main topic),to enter into (e.g. negotiations),to start (doing),to begin,to form (of a crack, fissure, etc.),to develop,to be put in (of effort, spirit, feeling, etc.),to be applied (e.g. of strength),to be ready (of tea, coffee, etc.),to be made,to enter the body (of alcohol),to become drunk","","1465590"
"ところ","ところ","ところ","3","145","0,3","place,spot,scene,site,address,district,area,locality,one's house,point,aspect,side,facet,passage (in text),part,space,room,thing,matter,whereupon,as a result,about to,on the verge of,was just doing,was in the process of doing,have just done,just finished doing,approximately,around,about","","1343100"
"だって","だって","だって","3","83","1","after all,because,but,even,too,as well,also,they say,I hear,you mean","","2643970"
"幸せ","幸[しあわ]せ","しあわせ","3","444","0","happiness,good fortune,luck,blessing","","1594060"
"美少女","美[び]少[しょう]女[じょ]","びしょうじょ","3","5794","2","beautiful girl","","1486500"
"では","では","では","3","69","1","then,well,so,well then,bye then,at,in,by,with,using,if not ...,unless ...","","1008450"
"おのぼりさん","おのぼりさん","おのぼりさん","3","63173","2","countryside people (in town),visitor from the country,out-of-towner,country bumpkin (visiting the big city),yokel","","1002160"
"様","様[よう]","よう","3","6699","2","appearing ...,looking ...,way to ...,method of ...ing,form,style,design,like,similar to,thing (thought or spoken)","","1605840"
"胸","胸[むね]","むね","3","625","2","chest,breast,breasts,bosom,bust,heart,lungs,stomach,heart,mind,feelings","","1237820"
"なん","なん","なん","3","87","0,1","what,how many,many,a lot of,several,a few,some","","2846738"
"やっぱり","やっぱり","やっぱり","3","150","3","as expected,sure enough,just as one thought,after all (is said and done),in the end,as one would expect,in any case,too,also,as well,likewise,(not) either,still,as before,all the same,even so,still,nonetheless","","1012810"
"どこか","どこか","どこか","3","440","1","somewhere,in some respects,in some way","","1189000"
"まさか","まさか","まさか","3","241","1","by no means,never!,well, I never!,you don't say!,no way!,certainly (not),surely (not),hardly (expected),something unexpected,emergency,indeed,really,truly,unexpectedly,(the) present,(the) here and now,situation at hand","","1363540"
"いえ","いえ","いえ","3","322","3","no,you're welcome,not at all,don't mention it","","1583250"
"あーっ","あーっ","あーっ","3","1627","1","ah!,oh!,alas!,yes,indeed,that is correct,aah,gah,argh,hey!,yo!,uh huh,yeah yeah,right,gotcha","","1565440"
"手","手[て]","て","3","160","1","hand,arm,forepaw,foreleg,handle,hand,worker,help,trouble,care,effort,means,way,trick,move,technique,workmanship,hand,handwriting,kind,type,sort,one's hands,one's possession,ability to cope,hand (of cards),direction,move (in go, shogi, etc.)","","1327190"
"街","街[まち]","まち","3","1089","1","town,block,neighbourhood,neighborhood,downtown,main street,street,road","","1603990"
"きっと","きっと","きっと","3","204","0","surely,undoubtedly,almost certainly,most likely (e.g. 90 percent),sternly,severely,having no slack,rigid,stiff,tight,suddenly,abruptly,instantly","","1003430"
"程度","程[てい]度[ど]","ていど","3","924","1,0","degree,amount,grade,standard,of the order of (following a number),about,approximately","","1436540"
"最強","最[さい]強[きょう]","さいきょう","3","2469","0","strongest","","1293770"
"や","や","や","3","57","1","such things as ...,and ... and,the minute (that) ...,no sooner than ...,as soon as,be,is,o,oh,huh,what,hi,yes,what?,yes?,no?,is it?,isn't it?","","2028960"
"こいつ","こいつ","こいつ","3","320","0","he,she,this fellow,this guy,this person,this,this one,this thing,hey, you!,you bastard!,damn you!","","1579070"
"なんて","なんて","なんて","3","70","","things like,something like,someone like,such a thing as,(the fact) that,to think that","","2089060"
"おっ","おっ","おっ","3","658","1,0","oh,oops","","2770620"
"思う","思[おも]う","おもう","3","32","2","to think,to consider,to believe,to reckon,to think (of doing),to plan (to do),to judge,to assess,to regard,to imagine,to suppose,to dream,to expect,to look forward to,to feel,to be (in a state of mind),to desire,to want,to care (deeply) for,to yearn for,to worry about,to love,to recall,to remember","","1589350"
"平均的","平[へい]均[きん]的[てき]","へいきんてき","2","20081","0","average,ordinary,normal","","2119430"
"よい","よい","よい","2","131","1","good,excellent,fine,nice,pleasant,agreeable,sufficient,enough,ready,prepared,profitable (deal, business offer, etc.),beneficial,OK,all right,fine,no problem,easy to ...","","1605820"
"ちっこい","ちっこい","ちっこい","2","16640","3","very small","","1925780"
"して","して","して","2","166","0","by (indicating means of action),as (a group, etc.),indicates the agent in a causative construction,acts as a connective indicating a state or condition,adds emphasis,and,so,then","","2424740"
"のに","のに","のに","2","88","","although,despite,even though,and yet,whereas,while,if only,I wish,in order to","","1009980"
"ことになる","ことになる","ことになる","2","256","","to have been decided (so) that,to have been arranged (so) that,to be the result (of),to be the outcome,to be the reason (for)","","1004590"
"見える","見[み]える","みえる","2","144","2","to be seen,to be visible,to be in sight,to look,to seem,to appear,to come","","1259140"
"次","次[つぎ]","つぎ","2","198","2","next,following,subsequent,stage,station","","1316380"
"生活","生[せい]活[かつ]","せいかつ","2","696","0","life,living,livelihood,(one's) living","","1378860"
"野望","野[や]望[ぼう]","やぼう","2","8964","0","ambition,aspiration","","1537650"
"望む","望[のぞ]む","のぞむ","2","898","0,2","to desire,to want,to wish for,to hope for,to expect (of someone),to hope for,to look forward to,to see,to command (a view of),to overlook","","1519630"
"お湯","お湯[ゆ]","おゆ","2","3766","0","hot water,hot bath","","1002510"
"基本","基[き]本[ほん]","きほん","2","2116","0","basics,fundamentals,basis,foundation","","1219190"
"それだけ","それだけ","それだけ","2","329","4,0","that much,as much,to that extent,only that,that alone,no more than that,that is all (when finished speaking)","","1006990"
"家業","家[か]業[ぎょう]","かぎょう","2","20467","1","family business,family trade,one's occupation,one's trade","","1191840"
"いわゆる","いわゆる","いわゆる","2","2585","3,2","what is called,what you call,what they call,so-called","","1343150"
"よね","よね","よね","2","172","1","isn't that right?","","2667510"
"なんだ","なんだ","なんだ","2","99","1","it is assuredly that ...,can say with confidence that ...,did not ...","","2140410"
"こっち","こっち","こっち","2","142","1,2","this way,this direction,here,this (one),I,me,we,us,this person","","1004500"
"どこ","どこ","どこ","2","104","1,0","where,what place,how much (long, far),what extent","","1577140"
"人生","人[じん]生[せい]","じんせい","2","584","1","(one's) life","","1368370"
"騎士","騎[き]士[し]","きし","2","5955","1,2","(medieval) knight,samurai on horseback","","1224110"
"入学","入[にゅう]学[がく]","にゅうがく","2","4286","0","admission (to a school or university),entrance,enrolment,enrollment,matriculation","","1465850"
"海里","海[かい]里[り]","かいり","2","71009","1","nautical mile","","1589740"
"何か","何[なに]か","なにか","2","109","1","something,some,any,somehow,for some reason,(so) what (are you trying to say)?,what (do you mean)?","","1188270"
"失礼","失[しつ]礼[れい]","しつれい","2","542","2","discourtesy,impoliteness,excuse me,goodbye,to leave,to be rude","","1320230"
"こそ","こそ","こそ","2","258","","it is ... that ...,precisely,in particular,definitely,for sure,only (when, after, because, etc.),although,while,it is the case that ... but,it is precisely because ... that ...,only because ...,not at all,not in the slightest,absolutely not,never","","1004410"
"甘やかす","甘[あま]やかす","あまやかす","2","5310","4,0","to pamper,to spoil","","1213470"
"学校","学[がっ]校[こう]","がっこう","2","648","0","school","","1206730"
"また","また","また","2","73","0,2","again,once more,once again,another time,some other time,also,too,as well,likewise,on the other hand,while,and,in addition,besides,moreover,furthermore,or,otherwise,really,how,(what, why) on earth,some time (in the future),indirect","","1524930"
"ご","ご","ご","2","203","0","honorific/polite/humble prefix,honorific suffix","","1270190"
"さすがに","さすがに","さすがに","2","969","0","as one would expect,naturally,indeed,still,all the same,after all","","2140120"
"危険","危[き]険[けん]","きけん","2","758","0","danger,peril,hazard,risk","","1218560"
"心配","心[しん]配[ぱい]","しんぱい","2","206","0","worry,concern,anxiety,uneasiness,fear,care,help,aid,assistance","","1360930"
"まま","まま","まま","2","215","2,0","as (it is),remaining (in a state),keeping (the same),leaving (unchanged),with (e.g. one's eyes closed, the light on),while (e.g. standing, alive),as,as (one pleases, one is told, etc.),according to,sic","","1585410"
"頭","頭[あたま]","あたま","2","273","3","head,hair (on one's head),mind,brains,intellect,leader,chief,boss,captain,top,tip,beginning,start,head,person,down payment,deposit,top structural component of a kanji,pair","","1582310"
"見る","見[み]る","みる","2","42","1","to see,to look,to watch,to view,to observe,to examine,to look over,to assess,to check,to judge,to look after,to attend to,to take care of,to keep an eye on,to experience,to meet with (misfortune, success, etc.),to try ...,to have a go at ...,to give ... a try,to see (that) ...,to find (that) ...","","1259290"
"はぁ","はぁ","はぁ","2","1022","1","yes,indeed,well,ha!,what?,huh?,sigh","","2069620"
"丸出し","丸[まる]出[だ]し","まるだし","2","8698","0","(fully) exposed,bare,uncovered,in full view,undisguised,broad (accent)","","1216470"
"顔","顔[かお]","かお","2","119","0","face,visage,looks,(facial) features,look,(facial) expression,countenance,honor (honour),face,dignity,influence,notoriety,trust,pull,clout,representative,(the) face (of something),trademark,example,members,attendees,lineup,participants,everyone involved,makeup,cosmetics","","1217730"
"たる","たる","たる","2","1359","0,2","(those) who are,(that) which is,in the capacity of","","2092660"
"１人","１[ひと]人[り]","ひとり","2","746","2","one person,being alone,being by oneself,being single,being unmarried,by oneself,alone,just,only,simply","","1576150"
"とき","とき","とき","2","363","2","time,hour,moment,occasion,case,chance,opportunity,season,the times,the age,the day,tense","","1315840"
"持つ","持[も]つ","もつ","2","108","1","to hold (in one's hand),to take,to carry,to possess,to have,to own,to maintain,to keep,to last,to be durable,to keep,to survive,to take charge of,to be in charge of,to hold (meeting, etc.),to have (opportunity, etc.),to have ""it"",to have that special something,to be blessed with good luck","","1315720"
"自分","自[じ]分[ぶん]","じぶん","2","72","0","myself,yourself,oneself,himself,herself,I,me,you","","1318610"
"そんな","そんな","そんな","2","40","0","such,that sort of,that kind of,like that,no way!,never!","","1007130"
"おうち","おうち","おうち","2","4083","0","your home,your family,their home,their family,(my) home","","2213230"
"いう","いう","いう","2","113","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise","","1587040"
"つい","つい","つい","2","764","1","end,final,end of life,death,never,not at all","","2720360"
"無","無[む]","む","2","3648","1,0","nothing,naught,nought,nil,zero,un-,non-","","1956960"
"なぜ","なぜ","なぜ","2","387","0","why,how,for what reason","","1577120"
"どうかした","どうかした","どうかした","2","1682","","is something wrong?,what's wrong?,what's the matter?,slightest,mere,trivial,some,chance,accidental,unexpected","","2089480"
"なのに","なのに","なのに","2","286","1","and yet,despite this,but even so,but even then,however,nevertheless,for all that,notwithstanding that","","2395490"
"なので","なので","なので","2","623","","because,as,since,so,therefore,because of that,therefore,accordingly,consequently,on those grounds,that is why,for that reason","","2827864"
"へ","へ","へ","2","59","1","to,towards,for","","2029000"
"魔力","魔[ま]力[りょく]","まりょく","2","5664","1,0","magical powers,supernatural powers,spell,charm","","1524280"
